X1,X2,X3,Y,Nor _X1,Nor_X2,Nor_X3,Nor_Y,epoch:1,EPOCH:2
5567.84,5572.36,5557.28,5561.08,0.091690009,0.092302233,0.09025968,0.090774382,0.051640859,0.051688567
5561.08,5567.84,5572.36,5552.5,0.090774382,0.091690009,0.092302233,0.08961224,0.051640544,0.05168823
5552.5,5561.08,5567.84,5576.8,0.08961224,0.090774382,0.091690009,0.092903621,0.051633552,0.051680836
5576.8,5552.5,5561.08,5633.13,0.092903621,0.08961224,0.090774382,0.100533393,0.051648691,0.051696684
5633.13,5576.8,5552.5,5676.16,0.100533393,0.092903621,0.08961224,0.106361711,0.065854307,0.065912785
5676.16,5633.13,5576.8,5698.64,0.106361711,0.100533393,0.092903621,0.109406576,0.07231212,0.072374174
5698.64,5676.16,5633.13,5738.43,0.109406576,0.106361711,0.100533393,0.114796043,0.082130581,0.081393785
5738.43,5698.64,5676.16,5701.69,0.114796043,0.109406576,0.106361711,0.109819692,0.082186634,0.081452746
5701.69,5738.43,5698.64,5759.14,0.109819692,0.114796043,0.109406576,0.117601166,0.086419837,0.085708785
5759.14,5701.69,5738.43,5766.65,0.117601166,0.109819692,0.114796043,0.118618379,0.087354565,0.087510188
5766.65,5759.14,5701.69,5824.39,0.118618379,0.117601166,0.109819692,0.126439132,0.098549591,0.098687908
5824.39,5766.65,5759.14,5827.84,0.126439132,0.118618379,0.117601166,0.126906427,0.09959713,0.099738473
5827.84,5824.39,5766.65,5842.07,0.126906427,0.126439132,0.118618379,0.128833849,0.101599054,0.10173646
5842.07,5827.84,5824.39,5853.11,0.128833849,0.126906427,0.126439132,0.130329192,0.103670927,0.103805845
5853.11,5842.07,5827.84,5874.15,0.130329192,0.128833849,0.126906427,0.133179013,0.107917589,0.107020586
5874.15,5853.11,5842.07,5965.99,0.133179013,0.130329192,0.128833849,0.145618536,0.122758704,0.123227279
5965.99,5874.15,5853.11,5977.92,0.145618536,0.133179013,0.130329192,0.147234428,0.12526326,0.124555128
5977.92,5965.99,5874.15,6045.74,0.147234428,0.145618536,0.133179013,0.156420495,0.135411934,0.136118282
6045.74,5977.92,5965.99,6045.52,0.156420495,0.147234428,0.145618536,0.156390696,0.135560068,0.136276216
6045.52,6045.74,5977.92,6077.8,0.156390696,0.156420495,0.147234428,0.16076295,0.141115869,0.140449954
6077.8,6045.52,6045.74,6123.85,0.16076295,0.156390696,0.156420495,0.16700032,0.147252115,0.148065451
6123.85,6077.8,6045.52,6107.44,0.16700032,0.16076295,0.156390696,0.164777622,0.147320315,0.148138432
6107.44,6123.85,6077.8,6218.46,0.164777622,0.16700032,0.16076295,0.179815033,0.162068735,0.162593511
6218.46,6107.44,6123.85,6221.59,0.179815033,0.164777622,0.16700032,0.180238984,0.162271918,0.162809765
6221.59,6218.46,6107.44,6297.75,0.180238984,0.179815033,0.164777622,0.190554686,0.173740243,0.174099238
6297.75,6221.59,6218.46,6285.68,0.190554686,0.180238984,0.179815033,0.188919831,0.173940469,0.174312788
6285.68,6297.75,6221.59,6353.45,0.188919831,0.190554686,0.180238984,0.198099126,0.181565355,0.181838726
6353.45,6285.68,6297.75,6318.9,0.198099126,0.188919831,0.190554686,0.193419406,0.181731774,0.182016063
6318.9,6353.45,6285.68,6484.14,0.193419406,0.198099126,0.188919831,0.215800794,0.201413822,0.201554028
6484.14,6318.9,6353.45,6709.93,0.215800794,0.193419406,0.198099126,0.246383545,0.232848487,0.232910412
6709.93,6484.14,6318.9,6657.57,0.246383545,0.215800794,0.193419406,0.2392915,0.233262754,0.233354785
6657.57,6709.93,6484.14,6426.17,0.2392915,0.246383545,0.215800794,0.207948887,0.222380258,0.220598249
6426.17,6657.57,6709.93,6559.98,0.207948887,0.2392915,0.246383545,0.226073153,0.222124636,0.220326391
6559.98,6426.17,6657.57,6632.84,0.226073153,0.207948887,0.2392915,0.235941877,0.222314507,0.222465635
6632.84,6559.98,6426.17,6603.65,0.235941877,0.226073153,0.207948887,0.231988156,0.222276997,0.222426411
6603.65,6632.84,6559.98,6746.28,0.231988156,0.235941877,0.226073153,0.251307071,0.23908531,0.239158235
6746.28,6603.65,6632.84,6862.11,0.251307071,0.231988156,0.235941877,0.266995985,0.254526493,0.254573979
6862.11,6746.28,6603.65,6889.05,0.266995985,0.251307071,0.231988156,0.270644948,0.259272794,0.25931997
6889.05,6862.11,6746.28,6905.93,0.270644948,0.266995985,0.251307071,0.272931306,0.261575257,0.261628133
6905.93,6889.05,6862.11,6953.17,0.272931306,0.270644948,0.266995985,0.279329859,0.266894377,0.266940193
6953.17,6905.93,6889.05,6798.12,0.279329859,0.272931306,0.270644948,0.258328683,0.267015048,0.267069694
6798.12,6953.17,6905.93,6748.62,0.258328683,0.279329859,0.272931306,0.251624019,0.264279867,0.264308221
6748.62,6798.12,6953.17,6869.29,0.251624019,0.258328683,0.279329859,0.2679685,0.26420374,0.264225283
6869.29,6748.62,6798.12,6950.1,0.2679685,0.251624019,0.258328683,0.278914034,0.266655076,0.266678888
6950.1,6869.29,6748.62,7015.16,0.278914034,0.2679685,0.251624019,0.287726265,0.275548544,0.275569509
7015.16,6950.1,6869.29,6968.18,0.287726265,0.278914034,0.2679685,0.28136293,0.275797286,0.275837181
6968.18,7015.16,6950.1,7091.12,0.28136293,0.287726265,0.278914034,0.298014878,0.287637534,0.287657081
7091.12,6968.18,7015.16,7154.83,0.298014878,0.28136293,0.287726265,0.306644255,0.296366362,0.296390154
7154.83,7091.12,6968.18,7157.64,0.306644255,0.298014878,0.28136293,0.307024863,0.296474671,0.296507393
7157.64,7154.83,7091.12,7196.75,0.307024863,0.306644255,0.298014878,0.312322225,0.301900984,0.301930049
7196.75,7157.64,7154.83,7238.92,0.312322225,0.307024863,0.306644255,0.318034057,0.30753352,0.307560177
7238.92,7196.75,7157.64,7342.62,0.318034057,0.312322225,0.307024863,0.33207999,0.321910297,0.321925403
7342.62,7238.92,7196.75,7402.96,0.33207999,0.318034057,0.312322225,0.340252908,0.331152069,0.331170581
7402.96,7342.62,7238.92,7509.76,0.340252908,0.33207999,0.318034057,0.354718729,0.3457112,0.34572482
7509.76,7402.96,7342.62,7579.98,0.354718729,0.340252908,0.33207999,0.364229871,0.355574176,0.355594112
7579.98,7509.76,7402.96,7733.36,0.364229871,0.354718729,0.340252908,0.385004849,0.374592288,0.374606872
7733.36,7579.98,7509.76,7865.94,0.385004849,0.364229871,0.354718729,0.402962513,0.393478026,0.393496243
7865.94,7733.36,7579.98,7925.92,0.402962513,0.385004849,0.364229871,0.41108667,0.401192591,0.401222289
7925.92,7865.94,7733.36,8180.97,0.41108667,0.402962513,0.385004849,0.445632622,0.437848517,0.437858973
8180.97,7925.92,7865.94,8253.34,0.445632622,0.41108667,0.402962513,0.455434977,0.446096129,0.446135229
8253.34,8180.97,7925.92,8285.48,0.455434977,0.445632622,0.41108667,0.459788268,0.449834303,0.449881517
8285.48,8253.34,8180.97,8261.28,0.459788268,0.455434977,0.445632622,0.456510432,0.450172316,0.450248453
8261.28,8285.48,8253.34,8404.49,0.456510432,0.459788268,0.455434977,0.475907906,0.468191216,0.468215102
8404.49,8261.28,8285.48,8206.16,0.475907906,0.456510432,0.459788268,0.449044551,0.456932083,0.456953399
8206.16,8404.49,8261.28,8496.36,0.449044551,0.475907906,0.456510432,0.488351492,0.478866373,0.47886189
8496.36,8206.16,8404.49,8792.7,0.488351492,0.449044551,0.475907906,0.528490083,0.520622943,0.520632299
